Feature,Importance
exhaust_gas_temp,0.59612024
temp_diff_head_exhaust,0.25690785
bearing_temp,0.026979279
cylinder_head_temp,0.014515232
temp_diff_head_bearing,0.012826081
vibration_composite,0.007441616
oil_coolant_pressure_ratio,0.0071961298
oil_condition,0.0068073957
mass_air_flow,0.0067695254
knock_sensor,0.0066967052
injector_pressure,0.0066674515
egr_flow,0.00662722
soot_in_oil,0.0065050935
oxygen_sensor,0.006379934
crankshaft_vibration,0.006378273
engine_vibration,0.006357742
coolant_pressure,0.0063556223
oil_pressure,0.006294324
ferrous_debris,0.0061742496
oil_temperature,0.0
wear_composite,0.0
